Name,Time Played,Class,Light,Kills,Deaths,KDR,KDA,Grenade,Melee,Super,Completed
No CoMMeNT,174361,Warlock,1571,412.0,29.0,14.206896551724139,20.637931034482758,51.0,114.0,13.0,1.0
A-Alansari87,150414,Hunter,1582,419.0,27.0,15.518518518518519,23.51851851851852,54.0,8.0,7.0,1.0
END GROUP + 10349133257
Kresu,212763,Hunter,1561,172.0,10.0,17.2,20.05,30.0,12.0,0.0,1.0
Sham,399536,Warlock,1562,205.0,9.0,22.77777777777778,30.72222222222222,94.0,16.0,1.0,1.0
Evans,267880,Titan,1557,278.0,10.0,27.8,33.6,53.0,12.0,0.0,1.0
JokeR,135399,Titan,1540,59.0,13.0,4.538461538461538,5.0,15.0,11.0,0.0,1.0
Strimi,131828,Warlock,1553,55.0,8.0,6.875,10.3125,29.0,5.0,0.0,0.0
magiczny,137015,Warlock,1558,38.0,3.0,12.666666666666666,17.166666666666668,5.0,7.0,0.0,1.0
:3,167739,Warlock,1552,356.0,9.0,39.55555555555556,46.94444444444444,117.0,42.0,11.0,1.0
END GROUP + 10349111936
dragon-first27,132054,Titan,1569,798.0,30.0,26.6,36.916666666666664,148.0,48.0,0.0,1.0
Chemiker184,737651,Warlock,1573,1002.0,19.0,52.73684210526316,72.28947368421052,232.0,59.0,0.0,1.0
JackXD184,388645,Warlock,1567,363.0,24.0,15.125,27.958333333333332,1.0,5.0,0.0,1.0
Multi_Max110,227355,Warlock,1563,1109.0,25.0,44.36,58.44,241.0,76.0,0.0,1.0
NoVa_Contex_X-_S,353180,Warlock,1558,1234.0,19.0,64.94736842105263,80.36842105263158,146.0,58.0,0.0,1.0
- exiled crow -,204627,Hunter,1554,458.0,19.0,24.105263157894736,30.18421052631579,74.0,29.0,0.0,1.0
END GROUP + 10349123897
Amathaunta,166905,Hunter,1541,98.0,1.0,98.0,149.0,3.0,8.0,0.0,1.0
Frigus,388173,Warlock,1588,256.0,2.0,128.0,147.0,39.0,14.0,0.0,1.0
Cacık,315948,Titan,1566,37.0,3.0,12.333333333333334,20.333333333333332,4.0,0.0,0.0,1.0
unforgivenmba,435060,Titan,1561,108.0,2.0,54.0,93.0,31.0,0.0,1.0,1.0
DIVINEj,503093,Warlock,1566,209.0,2.0,104.5,133.75,55.0,12.0,0.0,1.0
Nicotin,117900,Warlock,1563,42.0,2.0,21.0,41.25,0.0,3.0,0.0,1.0
END GROUP + 10349113950
groks,127595,Warlock,1560,1296.0,132.0,9.818181818181818,14.901515151515152,240.0,135.0,13.0,1.0
DKA,205960,Warlock,1562,3339.0,141.0,23.680851063829788,29.97872340425532,300.0,300.0,11.0,1.0
Deadman97,202180,Titan,1562,656.0,33.0,19.87878787878788,26.681818181818183,91.0,43.0,1.0,0.0
SiNner,284824,Warlock,1557,2170.0,91.0,23.846153846153847,29.065934065934066,362.0,112.0,0.0,1.0
Unitatem,208183,Warlock,1554,3336.0,130.0,25.661538461538463,34.603846153846156,237.0,98.0,20.0,1.0
Pobelka_SIVA_,320287,Warlock,1538,1745.0,128.0,13.6328125,17.91015625,555.0,186.0,6.0,1.0
Безработный ★★★,178751,Warlock,1557,1089.0,121.0,9.0,12.557851239669422,411.0,149.0,2.0,1.0
END GROUP + 10349142277
Lord Maximus,374840,Titan,1559,101.0,5.0,20.2,27.8,10.0,27.0,2.0,1.0
Hadouken,62139,Hunter,1564,156.0,8.0,19.5,30.8125,16.0,17.0,2.0,1.0
GenevaConvention,240472,Warlock,1548,472.0,5.0,94.4,114.9,196.0,18.0,0.0,1.0
M@kov',173125,Hunter,1559,198.0,12.0,16.5,25.708333333333332,13.0,4.0,0.0,1.0
enjoynikon,121353,Warlock,1538,406.0,6.0,67.66666666666667,81.5,112.0,29.0,0.0,1.0
Prilagol,137661,Titan,1562,247.0,7.0,35.285714285714285,51.785714285714285,31.0,1.0,0.0,1.0
END GROUP + 10349139196
Breezy096,207839,Warlock,1555,944.0,35.0,26.97142857142857,36.5,82.0,96.0,0.0,1.0
daem101,225329,Hunter,1567,399.0,35.0,11.4,20.37142857142857,10.0,4.0,9.0,1.0
phoenix,112926,Warlock,1555,779.0,38.0,20.5,29.57894736842105,152.0,109.0,0.0,1.0
Perhilixous,167875,Hunter,1562,1644.0,34.0,48.35294117647059,56.98529411764706,55.0,17.0,1.0,1.0
plums,70414,Warlock,1541,838.0,37.0,22.64864864864865,33.95945945945946,237.0,90.0,0.0,1.0
sneakygreeky,112351,Titan,1564,739.0,36.0,20.52777777777778,30.805555555555557,71.0,4.0,0.0,1.0
END GROUP + 10349140324
Parean,294329,Hunter,1539,1048.0,21.0,49.904761904761905,56.904761904761905,20.0,1.0,1.0,1.0
Iones,151829,Hunter,1555,267.0,27.0,9.88888888888889,15.814814814814815,23.0,4.0,0.0,1.0
XellOwOs,105467,Hunter,1549,84.0,2.0,42.0,56.5,16.0,3.0,0.0,1.0
KuroMizumi,464806,Titan,1567,431.0,20.0,21.55,26.1,26.0,5.0,1.0,1.0
Nerfii,180009,Warlock,1561,263.0,19.0,13.842105263157896,19.342105263157894,16.0,26.0,3.0,1.0
Quintol,171993,Titan,1562,413.0,22.0,18.772727272727273,23.5,0.0,2.0,0.0,1.0
DomiHyun,90069,Warlock,1550,130.0,15.0,8.666666666666666,11.666666666666666,16.0,9.0,12.0,0.0
Jakoo,166920,Titan,1559,575.0,11.0,52.27272727272727,57.0,14.0,21.0,4.0,0.0
END GROUP + 10349121097
Integlol,192223,Titan,1558,214.0,15.0,14.266666666666667,20.2,20.0,2.0,0.0,1.0
CHRISTOPHER,138545,Warlock,1575,319.0,15.0,21.266666666666666,28.233333333333334,108.0,13.0,8.0,1.0
Sein,167600,Warlock,1537,278.0,17.0,16.352941176470587,21.41176470588235,61.0,18.0,12.0,1.0
IKEA Monkey,41862,Warlock,1563,131.0,15.0,8.733333333333333,11.133333333333333,48.0,6.0,0.0,1.0
gmwalker,346350,Warlock,1551,310.0,16.0,19.375,24.375,67.0,40.0,0.0,1.0
ItisDAPenguin,246086,Titan,1556,271.0,9.0,30.11111111111111,40.333333333333336,42.0,59.0,0.0,1.0
END GROUP + 10349134163
叶 晚,513290,Titan,1571,1465.0,75.0,19.533333333333335,21.906666666666666,48.0,52.0,4.0,1.0
MANGO,258168,Titan,1531,1280.0,65.0,19.692307692307693,23.953846153846154,201.0,10.0,8.0,1.0
nihao,232563,Titan,1564,1691.0,68.0,24.86764705882353,28.316176470588236,98.0,11.0,4.0,1.0
人与自然,267234,Warlock,1567,1630.0,69.0,23.6231884057971,26.115942028985508,270.0,24.0,40.0,1.0
乾月,169190,Titan,1559,453.0,68.0,6.661764705882353,8.139705882352942,115.0,89.0,5.0,1.0
▯ blank ▯,155756,Warlock,1565,728.0,70.0,10.4,12.464285714285714,1.0,11.0,8.0,1.0
END GROUP + 10349145172
sign,178898,Titan,1569,669.0,25.0,26.76,34.94,40.0,2.0,1.0,1.0
Утёд,337863,Warlock,1566,603.0,26.0,23.192307692307693,27.384615384615383,42.0,45.0,8.0,1.0
ДDc4rd,71367,Warlock,1562,476.0,24.0,19.833333333333332,27.875,54.0,68.0,5.0,1.0
黑暗深渊,163546,Titan,1563,838.0,25.0,33.52,42.54,72.0,10.0,0.0,1.0
Five、Month,126294,Hunter,1563,337.0,25.0,13.48,18.76,16.0,10.0,0.0,1.0
spark4e,158334,Titan,1579,356.0,21.0,16.952380952380953,22.61904761904762,32.0,1.0,0.0,1.0
END GROUP + 10349142803
xSERENITY81x,363463,Hunter,1562,65.0,3.0,21.666666666666668,37.833333333333336,6.0,10.0,0.0,1.0
Lykanthr,244916,Titan,1563,181.0,3.0,60.333333333333336,74.0,4.0,8.0,0.0,1.0
JackaeI,539169,Warlock,1563,198.0,3.0,66.0,84.33333333333333,84.0,17.0,1.0,1.0
M_p_1810,272527,Warlock,1572,85.0,5.0,17.0,21.9,14.0,7.0,4.0,1.0
Fritteusengott,178180,Hunter,1561,94.0,3.0,31.333333333333332,47.166666666666664,20.0,2.0,0.0,1.0
Motzi-267,57012,Warlock,1560,262.0,5.0,52.4,57.5,0.0,4.0,0.0,1.0
END GROUP + 10349143092
枫糖 Crépuscule,367721,Hunter,1563,82.0,4.0,20.5,34.75,12.0,17.0,0.0,1.0
钞鈔鈔,170055,Warlock,1539,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0
略略略,423285,Titan,1569,194.0,3.0,64.66666666666667,74.5,19.0,5.0,0.0,1.0
10969,98163,Hunter,1558,289.0,3.0,96.33333333333333,113.0,29.0,22.0,1.0,1.0
寄！有骇人鲸！,213430,Titan,1563,61.0,3.0,20.333333333333332,22.666666666666668,27.0,9.0,1.0,1.0
荷洲戏风,207585,Warlock,1567,269.0,2.0,134.5,152.75,1.0,5.0,0.0,1.0
END GROUP + 10349139001
EJsSsON,267529,Warlock,1582,150.0,8.0,18.75,25.1875,32.0,12.0,4.0,1.0
Buczek3004,402925,Hunter,1567,144.0,7.0,20.571428571428573,31.857142857142858,27.0,2.0,0.0,1.0
Sedaw23,199737,Warlock,1562,332.0,6.0,55.333333333333336,70.08333333333333,67.0,3.0,6.0,1.0
Waskid,529970,Warlock,1584,194.0,7.0,27.714285714285715,33.57142857142857,94.0,25.0,6.0,1.0
